Platform,category,subcategory,title,likes,tags,thumbnail_url
thangs.com,3D Printers,Anker,Quantum Wireframe Sphericon,9,"['sphericon', 'hexasphericon', 'wireframe', 'math', 'mathematical shape', 'shape', 'shapes', 'geometry', 'cool', 'rolling', 'roll', 'sculpture', 'wire']",https://thangs.com/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fproduction-thangs-public%2Fuploads%2Fattachments%2F3b09d25b-2982-4a30-884d-cb764b8942f8%2FP1071390t.jpg&w=3840&q=85
thangs.com,3D Printers,Anker,KROMATIK Vase 001,246,"['chromatic', 'kromatik', 'spiral', 'vase', 'vase mode', 'spiralize', 'container', 'watertight', 'vases', 'design', 'designer', 'interior', 'home', 'house', 'flower', 'plant', 'plants', 'planter', 'flowerpot', 'bouquet', 'flowers', 'holder', 'spirals', 'light', 'shadow']",https://thangs.com/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fproduction-thangs-public%2Fuploads%2Fattachments%2F2a231364-bf3a-4186-9517-b8564fc548f9%2FP1071367tSW.jpg&w=3840&q=85
